accel_chest_x,accel_chest_y,accel_chest_z,ecg_1,ecg_2,accel_ankle_x,accel_ankle_y,accel_ankle_z,gyro_ankle_x,gyro_ankle_y,gyro_ankle_z,magnet_ankle_x,magnet_ankle_y,magnet_ankle_z,accel_arm_x,accel_arm_y,accel_arm_z,gyro_arm_x,gyro_arm_y,gyro_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,actividad
-9.6301,0.19245,0.41732,-0.37677,-0.26374,2.1748,-9.7765,0.56417,0.089054,-0.82927,-0.69155,-0.37384,1.2881,0.4275,-8.8741,-4.1581,0.18793,-0.4549,-1.0144,0.015086,-0.37511,-1.6043,2.5356,0
-9.6982,0.56675,0.29311,-0.062794,-0.071167,2.1522,-9.6388,0.47708,0.089054,-0.82927,-0.69155,-0.36967,0.73764,0.28862,-8.7538,-4.2579,0.21419,-0.4549,-1.0144,0.015086,-0.19563,-1.6097,2.1782,0
-9.741,0.18052,0.48993,-0.071167,-0.058608,2.2028,-9.5492,0.52373,0.089054,-0.82927,-0.69155,-0.1805,0.36878,-7.7713e-05,-8.6427,-4.1087,0.1279,-0.46863,-1.0144,0.012931,-0.91195,-1.4284,1.4401,0
-9.619,0.14158,0.46537,-0.096285,-0.087912,2.1219,-9.5984,0.55171,0.089054,-0.82927,-0.69155,0.52912,0.91214,0.4132,-8.6066,-4.237,0.29857,-0.46863,-1.0144,0.012931,-0.91202,-1.4356,0.71814,0
-9.6802,0.17366,0.22616,-0.087912,-0.10047,2.1728,-9.5086,0.62963,0.085343,-0.83865,-0.69548,-0.008553,0.36706,0.2851,-8.7148,-4.0682,0.18201,-0.46863,-1.0144,0.012931,-0.54573,-0.71331,0.71824,0
-9.7788,0.050103,0.3624,-0.087912,-0.071167,2.2652,-9.6381,0.55117,0.085343,-0.83865,-0.69548,0.00016524,0.55046,-0.0055079,-8.8451,-4.1478,0.21969,-0.46863,-1.0144,0.012931,-0.36273,-0.36661,-0.72561,0
-9.5758,0.0010409,0.42115,-0.066981,-0.054422,2.1731,-9.7082,0.4634,0.085343,-0.83865,-0.69548,0.18944,0.54856,-0.29787,-8.6,-4.1063,0.3676,-0.46471,-1.0082,0.017241,0.0054436,0.54436,-0.0053347,0
-9.7149,0.39324,0.45644,-0.087912,-0.075353,2.0196,-9.7487,0.37651,0.083488,-0.84991,-0.68762,0.72234,-0.3742,-0.010705,-8.695,-4.1877,0.22811,-0.46471,-1.0082,0.017241,-0.35366,0.54066,-0.7345,0
-9.7812,0.17034,0.45744,-0.10884,-0.096285,2.1757,-9.8256,0.60339,0.083488,-0.84991,-0.68762,1.0795,0.35618,0.11915,-8.7423,-4.0358,0.42321,-0.46471,-1.0082,0.017241,-0.52788,1.0723,-2.1873,0
-9.8862,-0.13284,0.36699,-0.12559,-0.13815,2.1845,-9.6771,0.61091,0.083488,-0.84991,-0.68762,1.2601,0.35437,0.11556,-8.7739,-4.2279,0.20527,-0.44314,-1.0185,0.028017,-0.16155,1.7982,-1.8263,0
-9.7236,0.32177,0.5237,-0.15908,-0.18001,2.2027,-9.5993,0.46915,0.083488,-0.84991,-0.68762,0.72256,0.35975,-0.018049,-8.8711,-4.0063,0.3726,-0.44314,-1.0185,0.028017,-0.34836,1.0706,-2.1837,0
-9.8125,0.22207,0.3042,-0.18001,-0.21769,2.1616,-9.5996,0.43747,0.077922,-0.82927,-0.68369,0.88591,0.5416,0.55407,-8.864,-4.1083,0.16958,-0.44314,-1.0185,0.028017,-0.52784,1.0759,-1.8264,0
-9.5691,0.17214,0.48918,-0.18001,-0.22606,2.1949,-9.6568,0.65369,0.077922,-0.82927,-0.68369,0.89884,0.35798,0.12274,-8.7708,-4.0363,0.3711,-0.44314,-1.0185,0.028017,-0.52421,1.4388,-1.8299,0
-9.6198,0.18268,0.39539,-0.10466,-0.1214,1.9487,-9.6682,0.50483,0.077922,-0.82927,-0.68369,0.70968,0.72685,0.41144,-8.9369,-4.0475,0.24554,-0.44314,-1.0185,0.028017,-0.34655,1.252,-2.1855,0
-9.9413,0.097677,0.493,-0.062794,-0.037677,2.091,-9.5088,0.60797,0.072356,-0.83302,-0.68173,0.70079,-0.0070079,0.70755,-8.9598,-4.1163,0.3671,-0.44314,-1.0185,0.028017,-0.34832,1.0742,-1.8228,0
-9.8468,0.42209,0.46957,-0.03349,-0.0041863,2.0402,-9.6685,0.47448,0.072356,-0.83302,-0.68173,0.33507,-0.55381,0.86464,-8.8171,-4.0275,0.24654,-0.44314,-1.0185,0.028017,-0.16514,1.4389,-1.4617,0
-9.7216,0.22171,0.43048,-0.03349,-0.020931,1.9773,-9.4402,0.53735,0.072356,-0.83302,-0.68173,0.15473,0.36543,0.85905,-8.9782,-3.9076,0.24212,-0.45686,-1.0082,0.010776,-0.3501,0.89634,-1.46,0
-9.7628,0.26324,0.27632,-0.037677,-0.0041863,1.9797,-9.5778,0.63466,0.072356,-0.83302,-0.68173,-0.19794,0.0019794,0.58114,-9.0386,-3.9772,0.28031,-0.45686,-1.0082,0.010776,0.3717,1.263,-0.36621,0
-9.9292,0.50137,0.53986,-0.025118,0.0,2.0917,-9.6281,0.56035,0.072356,-0.83302,-0.68173,0.1634,0.36534,0.57028,-8.9404,-3.9866,0.34234,-0.45686,-1.0082,0.010776,0.19211,1.2576,-1.0918,0
-9.6834,0.33289,0.46154,-0.037677,0.0041863,2.0403,-9.6185,0.52906,0.072356,-0.83302,-0.68173,0.69213,-0.0069213,0.99633,-9.1227,-3.9792,0.082291,-0.44706,-1.0226,0.0064655,0.19211,1.2576,-1.0918,0
-9.9169,0.3908,0.49833,-0.016745,-0.0041863,2.0107,-9.5774,0.67665,0.072356,-0.83302,-0.68173,0.33035,-1.8382,1.0219,-9.1154,-4.1477,0.23012,-0.44706,-1.0226,0.0064655,-0.7218,-0.3667,-1.0938,0
-9.8902,0.067281,0.55342,-0.012559,-0.0083726,2.0278,-9.4707,0.45299,0.068646,-0.83677,-0.7053,0.33507,-0.55381,0.86464,-8.8752,-4.0083,0.17459,-0.44706,-1.0226,0.0064655,-0.36462,-0.55528,-1.4458,0
-10.073,0.62167,0.48753,-0.025118,-0.016745,2.0114,-9.8567,0.46478,0.068646,-0.83677,-0.7053,0.69158,-1.8418,1.0147,-8.7052,-4.0581,0.19293,-0.44706,-1.0226,0.0064655,-0.8995,-0.18349,-1.0992,0
-9.8909,0.10028,0.28271,-0.020931,-0.0083726,2.0098,-9.7184,0.44043,0.068646,-0.83677,-0.7053,0.15824,-2.3869,0.7422,-8.7537,-4.0287,0.1319,-0.45686,-1.0082,0.030172,-0.71636,0.17766,-1.0991,0
-9.7252,0.40207,0.57303,-0.0083726,-0.0041863,2.1099,-9.5903,0.37492,0.057514,-0.82927,-0.69155,0.8768,-0.9262,0.85753,-8.6781,-3.9674,0.25996,-0.45686,-1.0082,0.030172,-0.71639,0.17405,-1.4601,0
-9.7612,0.17885,0.63715,0.025118,0.0,2.0387,-9.52,0.47147,0.057514,-0.82927,-0.69155,0.16301,-0.91906,0.58313,-8.8669,-4.021,-0.096882,-0.45686,-1.0082,0.030172,-0.71273,0.54056,-1.1027,0
-9.6428,0.32342,0.43963,0.0,-0.012559,1.743,-9.4698,0.54394,0.057514,-0.82927,-0.69155,0.16307,-0.73558,0.5813,-8.8226,-3.9593,0.07287,-0.43725,-0.99589,0.010776,-0.89043,0.72378,-1.1081,0
-9.7024,0.26994,0.67693,0.041863,0.050235,1.7661,-9.7771,0.50797,0.057514,-0.82927,-0.69155,0.52424,-0.92267,0.57594,-9.0019,-4.0193,0.069868,-0.43725,-0.99589,0.010776,-0.70725,1.0885,-0.74705,0
-9.8723,0.18068,0.34258,0.20094,0.16327,1.8976,-9.7683,0.39514,0.053803,-0.84428,-0.69155,0.70918,-0.92452,0.42796,-8.7082,-4.1003,-0.027931,-0.43725,-0.99589,0.010776,-0.7054,1.2736,-0.38785,0
-9.9563,0.34184,0.30445,0.13815,0.07954,1.9496,-9.5873,0.67555,0.053803,-0.84428,-0.69155,0.17195,-0.0017195,0.28518,-8.9389,-3.8708,-0.078956,-0.43725,-0.99589,0.010776,-0.88673,1.0939,-0.38968,0
-9.7424,0.25157,0.45422,0.03349,0.016745,1.9684,-9.5189,0.58541,0.053803,-0.84428,-0.69155,-0.012664,1.101,0.42214,-8.9923,-3.8996,0.044606,-0.43922,-1.0021,0.015086,-0.88665,1.1011,0.33227,0
-9.6596,0.15369,0.22436,-0.037677,-0.050235,1.8276,-9.6868,0.62769,0.040816,-0.83114,-0.70727,-0.19366,-0.18155,0.43859,-8.9333,-4.2282,0.18443,-0.43922,-1.0021,0.015086,-1.0753,0.1884,-0.3844,0
-9.8422,0.19181,0.26989,-0.054422,-0.046049,1.9464,-9.5205,0.42886,0.040816,-0.83114,-0.70727,-0.19805,-0.36499,0.58481,-9.0224,-4.1088,0.11748,-0.43922,-1.0021,0.015086,-1.4361,0.014073,-0.028863,0
-9.8438,0.27148,0.38233,-0.69911,-0.23443,1.7859,-9.5977,0.6213,0.040816,-0.83114,-0.70727,-0.3655,0.18714,0.14974,-8.9673,-4.1205,-0.049775,-0.4549,-1.0062,-0.0021552,-1.0769,0.024992,1.4223,0
-9.6151,0.45352,0.58819,0.79958,0.087912,1.8791,-9.8164,0.53839,0.040816,-0.83114,-0.70727,-0.53723,0.9228,-0.14278,-8.8831,-4.1285,0.14774,-0.4549,-1.0062,-0.0021552,-0.90103,-0.33606,1.7904,0
-9.5772,0.072301,0.3644,-0.28885,-0.20931,1.763,-9.5103,0.45878,0.044527,-0.83302,-0.69352,-0.36972,0.55416,0.29045,-8.7948,-4.1479,0.20927,-0.4549,-1.0062,-0.0021552,-0.35341,0.56592,1.7923,0
-9.7426,0.26155,0.46565,-0.025118,-0.03349,1.6519,-9.509,0.58273,0.044527,-0.83302,-0.69352,-0.54606,0.37243,0.1515,-8.8975,-4.0208,-0.076038,-0.4549,-1.0062,-0.0021552,0.1888,0.92716,2.1606,0
-9.5135,0.42437,0.57504,-0.062794,-0.058608,1.7846,-9.589,0.50715,0.044527,-0.83302,-0.69352,-0.35251,0.18701,-0.28342,-8.7902,-4.1694,0.062365,-0.45098,-1.0062,0.0021552,0.37736,1.8291,1.7943,0
-9.5895,0.18277,0.41645,-0.075353,-0.07954,1.7032,-9.5888,0.52718,0.038961,-0.82739,-0.70138,0.36583,0.91377,-0.16075,-8.5888,-4.1499,0.011256,-0.45098,-1.0062,0.0021552,0.3664,0.73312,1.083,0
-9.7038,0.3411,0.6307,-0.066981,-0.062794,1.9054,-9.4307,0.49544,0.038961,-0.82739,-0.70138,-0.53307,0.3723,-0.28166,-8.8374,-4.0308,-0.076538,-0.45098,-1.0062,0.0021552,0.36995,1.0888,0.35752,0
-9.6626,0.30367,0.3747,-0.071167,-0.058608,1.7042,-9.6978,0.52174,0.038961,-0.82739,-0.70138,0.19388,0.91549,-0.44593,-8.7878,-4.1901,-0.011589,-0.46078,-1.0205,0.0,0.36988,1.0816,-0.36443,0
-9.7899,0.60431,0.48597,-0.050235,-0.058608,1.8557,-9.6894,0.36742,0.037106,-0.82739,-0.70334,0.36994,0.17979,-0.2978,-8.5831,-3.999,0.10213,-0.46078,-1.0205,0.0,0.010707,1.0707,-1.8155,0
-9.8134,0.26463,0.086975,-0.046049,-0.075353,1.7428,-9.66,0.33651,0.037106,-0.82739,-0.70334,0.19799,0.18151,-0.58298,-8.7351,-4.1212,-0.12273,-0.46078,-1.0205,0.0,0.37881,1.9744,-1.8172,0
-9.6328,0.32541,0.25034,-0.062794,-0.092098,1.8468,-9.8481,0.33856,0.037106,-0.82739,-0.70334,0.555,0.54491,-0.44945,-8.8616,-3.9895,0.050525,-0.46078,-1.0205,0.0,0.38237,2.3301,-2.5427,0
-9.7248,0.38336,0.42398,-0.092098,-0.15071,1.9279,-9.6186,0.51752,0.037106,-0.82739,-0.70334,0.38294,0.17966,-0.73096,-8.9228,-4.1585,0.14624,-0.45882,-1.0,0.010776,0.56007,2.1469,-2.5373,0
-9.4273,0.15306,0.51904,-0.16327,-0.22606,2.0822,-9.6574,0.60045,0.038961,-0.84053,-0.69352,0.20216,-0.36899,-0.72185,-8.7555,-3.8188,0.12156,-0.45882,-1.0,0.010776,0.56196,2.3356,-1.8172,0
-9.9339,0.22968,0.4312,-0.19257,-0.27211,1.7953,-9.5185,0.62536,0.038961,-0.84053,-0.69352,0.022154,1.6512,-0.73846,-9.06,-3.9402,-0.019927,-0.45882,-1.0,0.010776,0.19563,1.6097,-2.1782,0
-9.5532,0.38539,0.39258,-0.18838,-0.29304,1.459,-9.7281,0.45527,0.038961,-0.84053,-0.69352,-0.33502,0.7373,-0.86647,-9.1219,-3.9894,0.060947,-0.46078,-0.99384,0.010776,-0.17062,0.89097,-1.8174,0
-9.7556,0.40439,0.31008,-0.13815,-0.20931,1.5387,-9.5901,0.40047,0.051948,-0.83302,-0.69155,0.021548,-0.36719,-0.71826,-9.0238,-4.0486,0.14132,-0.46078,-0.99384,0.010776,-0.17785,0.16877,-1.4493,0
-9.9486,0.4626,0.35742,-0.054422,-0.10884,1.7956,-9.7282,0.44821,0.051948,-0.83302,-0.69155,0.034543,-0.36732,-1.1514,-8.9909,-4.0495,0.047524,-0.46078,-0.99384,0.010776,0.0035208,0.35208,-1.0865,0
-9.5851,0.4656,0.42085,0.0041863,-0.037677,1.6224,-9.6479,0.55466,0.051948,-0.83302,-0.69155,0.043757,1.4675,-1.4586,-8.9115,-3.9497,0.031683,-0.46078,-0.99384,0.010776,0.18307,0.35393,-0.7219,0
-9.8719,0.16092,0.29869,0.025118,-0.016745,1.5106,-9.6275,0.61706,0.051948,-0.83302,-0.69155,0.22387,-0.18572,-1.4456,-8.8835,-3.9889,0.11306,-0.45294,-1.0205,0.0,-0.17763,0.19043,0.71656,0
-9.861,0.12192,0.16887,0.03349,-0.0041863,1.8825,-9.3831,0.29967,0.046382,-0.84053,-0.68959,-0.14141,0.73536,-1.3032,-8.914,-3.9189,0.10614,-0.45294,-1.0205,0.0,0.36469,0.5625,2.1677,0
-9.8486,0.51332,0.43567,0.037677,-0.0083726,1.9681,-9.6492,0.42264,0.046382,-0.84053,-0.68959,-0.68736,1.4748,-1.1554,-8.8342,-3.9288,0.11606,-0.45294,-1.0205,0.0,0.36651,0.74395,2.166,0
-9.9041,0.25784,0.67584,0.03349,-0.020931,1.9251,-9.4414,0.41176,0.046382,-0.84053,-0.68959,-1.2467,0.74641,-0.55973,-8.9585,-4.0204,-0.044772,-0.46078,-1.0103,0.0086207,0.73105,1.292,2.8898,0
-10.032,0.57004,0.64078,0.041863,-0.029304,1.8258,-9.6486,0.48374,0.024119,-0.84053,-0.70727,-1.7974,0.20146,-0.25467,-8.9715,-3.9198,0.022761,-0.46078,-1.0103,0.0086207,0.73105,1.292,2.8898,0
-9.7325,0.25987,0.64444,0.025118,-0.041863,2.0409,-9.7578,0.4596,0.024119,-0.84053,-0.70727,-2.167,1.1226,0.032115,-9.0664,-3.8484,0.16175,-0.46078,-1.0103,0.0086207,0.37032,1.1249,3.9673,0
-9.5804,0.23195,0.55772,-0.012559,-0.083726,1.9273,-9.6792,0.3999,0.024119,-0.84053,-0.70727,-2.3433,1.3078,-0.11051,-9.1957,-3.8486,0.1409,-0.46078,-1.0103,0.0086207,0.19457,1.504,5.404,0
-9.8334,0.2577,0.76004,-0.0041863,-0.083726,1.8681,-9.8572,0.42166,0.024119,-0.84053,-0.70727,-2.8766,0.76271,-0.383,-9.2192,-3.761,-0.10472,-0.46667,-1.0103,-0.019397,-0.52886,0.9739,6.1169,0
-9.7252,0.40175,0.60458,0.012559,-0.058608,1.9767,-9.4308,0.48573,0.029685,-0.83677,-0.70727,-2.5326,1.1262,0.18369,-9.0772,-3.6388,0.12014,-0.46667,-1.0103,-0.019397,-1.2505,0.62525,6.8279,0
-9.65,0.17806,0.82655,0.0041863,-0.058608,1.9269,-9.7996,0.23762,0.029685,-0.83677,-0.70727,-2.8809,0.94624,-0.24045,-9.1899,-3.5648,0.51968,-0.46667,-1.0103,-0.019397,-1.9848,-0.99718,7.1905,0
-9.5103,0.26156,0.69722,-0.0083726,-0.050235,1.8843,-9.6714,0.19153,0.029685,-0.83677,-0.70727,-2.7044,1.6784,-0.107,-9.1139,-3.8193,0.069451,-0.47647,-1.0,0.0064655,-2.3636,-2.9716,9.0077,0
-9.6761,0.47026,0.8739,0.037677,0.012559,1.603,-9.7769,0.52719,0.050093,-0.82176,-0.72299,-2.8807,1.4967,-0.24595,-9.1626,-3.8197,0.027764,-0.47647,-1.0,0.0064655,-2.1877,-3.3254,10.098,0
-9.5321,0.33987,0.92533,0.12977,0.083726,1.6605,-9.7007,0.22949,0.050093,-0.82176,-0.72299,-2.3476,1.3079,0.033873,-9.0128,-3.9692,0.082791,-0.47647,-1.0,0.0064655,-1.8322,-3.6846,10.831,0
-9.4349,0.027256,0.97087,0.13396,0.071167,1.7212,-9.6512,0.22215,0.050093,-0.82176,-0.72299,-2.5239,1.3096,-0.10692,-9.0353,-3.8886,0.1389,-0.47647,-1.0,0.0064655,-1.4713,-3.4995,11.558,0
-9.9134,0.21496,0.91408,0.041863,0.0041863,1.7713,-9.5921,0.19436,0.037106,-0.83114,-0.71513,-2.5194,1.8601,-0.25681,-8.7599,-4.0266,0.34034,-0.47843,-0.99589,0.0,-0.74772,-2.9585,11.928,0
-9.4362,0.090424,0.7134,-0.050235,-0.087912,1.7311,-9.7015,0.14682,0.037106,-0.83114,-0.71513,-2.5237,1.8601,-0.11243,-8.8466,-3.8583,0.17167,-0.47843,-0.99589,0.0,-0.56468,-2.6082,10.845,0
-9.6709,0.20992,0.65047,-0.07954,-0.11722,1.5771,-9.6924,0.062399,0.037106,-0.83114,-0.71513,-1.9864,1.3043,0.026685,-8.4804,-4.0098,0.018259,-0.47843,-0.99589,0.0,-0.56298,-2.4376,9.7604,0
-9.6908,0.19479,1.1333,-0.54422,-0.16327,1.7317,-9.8609,0.045104,0.037106,-0.83114,-0.71513,-1.6212,0.016212,-0.11204,-8.5901,-4.1794,0.061864,-0.5,-1.0,0.0021552,-0.19868,-1.9148,7.9574,0
-9.4826,0.39282,0.73009,0.38095,-0.29304,1.6382,-9.6826,0.053083,0.040816,-0.82176,-0.71709,-1.4408,-0.90302,-0.10645,-8.601,-4.1293,0.074787,-0.5,-1.0,0.0021552,-0.19523,-1.57,6.149,0
-9.5402,0.24076,0.72693,0.11303,-0.20931,1.7714,-9.6721,0.11744,0.040816,-0.82176,-0.71709,-1.6167,0.38314,-0.2601,-8.5037,-4.1881,0.18643,-0.5,-1.0,0.0021552,0.17262,-0.69147,3.6205,0
-9.6017,0.28766,1.0259,-0.058608,-0.15071,1.6695,-9.6619,0.14818,0.040816,-0.82176,-0.71709,-1.2551,1.6639,-0.28014,-8.9533,-4.0089,0.11206,-0.5,-1.0,0.0021552,0.89783,0.01647,2.5449,0
-9.7659,0.41848,0.91135,-0.075353,-0.11303,1.7191,-9.6333,0.035526,0.025974,-0.81801,-0.72102,-1.44,1.8493,-0.13399,-8.8793,-3.7278,0.21986,-0.51961,-0.98768,0.0021552,1.2658,0.90939,1.4603,0
-9.8755,0.33875,0.69365,-0.083726,-0.1214,1.607,-9.6332,0.044826,0.025974,-0.81801,-0.72102,-1.801,2.5868,-0.13415,-8.8526,-4.0988,0.11798,-0.51961,-0.98768,0.0021552,2.3483,1.4396,1.1156,0
-9.6221,0.29787,0.99523,-0.07954,-0.1214,1.5277,-9.7609,0.15223,0.025974,-0.81801,-0.72102,-1.7968,2.4033,-0.2767,-8.9377,-3.7881,0.18559,-0.51961,-0.98768,0.0021552,3.0717,1.9661,0.041774,0
-9.8625,0.19528,0.91231,-0.07954,-0.10884,1.5762,-9.6434,0.012756,0.025974,-0.81801,-0.72102,-1.264,1.1136,0.014144,-9.1872,-3.8282,0.18359,-0.51765,-0.97536,0.0021552,3.7897,1.9518,-0.66575,0
-9.6096,0.17878,0.79504,-0.062794,-0.11303,1.8007,-9.6434,0.015003,0.042672,-0.81614,-0.73281,-1.0791,0.74474,-0.13016,-9.0678,-3.8878,0.22228,-0.51765,-0.97536,0.0021552,3.9675,1.7722,-0.29938,0
-9.8532,0.23427,1.0632,-0.071167,-0.1214,1.7201,-9.6823,0.085169,0.042672,-0.81614,-0.73281,-0.53729,0.73932,-0.14095,-8.9301,-3.7176,0.2412,-0.51765,-0.97536,0.0021552,4.3212,1.2388,1.1571,0
-9.7938,0.29394,1.2159,-0.10047,-0.15071,1.6586,-9.7426,-0.0017933,0.042672,-0.81614,-0.73281,-0.88552,0.7428,-0.56692,-8.9972,-3.7185,0.14741,-0.51765,-0.97536,0.0021552,4.499,1.0664,2.2454,0
-9.7423,0.24421,1.1904,-0.10466,-0.1842,1.7008,-9.7112,0.16686,0.038961,-0.80113,-0.73674,-0.5329,0.92276,-0.28717,-9.1039,-3.6565,0.34842,-0.50784,-0.98152,0.0064655,4.682,1.4131,0.80153,0
-9.7825,0.23519,1.0422,-0.16745,-0.26792,1.5655,-9.5539,0.058795,0.038961,-0.80113,-0.73674,-0.35201,1.8384,-0.29994,-8.8037,-3.5403,-0.031182,-0.50784,-0.98152,0.0064655,4.3192,1.0393,-0.64603,0
-9.6221,0.29682,1.1004,-0.17164,-0.29723,1.6071,-9.7631,-0.076253,0.038961,-0.80113,-0.73674,-0.52829,1.8401,-0.44074,-8.8274,-3.6188,0.12114,-0.50784,-0.98152,0.0064655,4.5059,1.7561,-1.3715,0
-9.7516,0.20543,1.0185,-0.18001,-0.32234,1.4627,-9.6846,-0.14669,0.038961,-0.80113,-0.73674,-0.34368,0.73738,-0.5777,-9.0184,-3.3494,0.061698,-0.50784,-0.96715,0.023707,3.9636,1.3913,-2.1007,0
-9.8293,0.55724,1.1133,-0.13815,-0.26792,1.4457,-9.7812,0.098314,0.040816,-0.80675,-0.73084,0.73128,0.54315,-0.30866,-9.1486,-3.5486,0.13507,-0.50784,-0.96715,0.023707,3.2418,1.0246,-3.1945,0
-9.6916,0.23536,1.1159,-0.050235,-0.14233,1.7091,-9.6832,0.0016834,0.040816,-0.80675,-0.73084,0.55933,0.54487,-0.59384,-9.2067,-3.5792,0.081457,-0.50784,-0.96715,0.023707,2.8847,1.2131,-2.8425,0
-9.7538,0.31579,1.0916,0.0041863,-0.07954,1.6087,-9.6915,0.15651,0.040816,-0.80675,-0.73084,0.37444,0.7302,-0.44769,-8.9473,-3.4992,0.075038,-0.50784,-0.96715,0.023707,2.7033,1.0298,-3.2053,0
-9.8332,0.24646,0.87481,0.016745,-0.054422,1.5577,-9.7415,0.11184,0.03154,-0.803,-0.73084,0.555,0.54491,-0.44945,-9.0734,-3.4806,-0.059446,-0.50784,-0.99795,0.012931,1.8039,0.85719,-3.2216,0
-9.7417,0.21772,0.80907,0.012559,-0.062794,1.2922,-9.6916,0.14292,0.03154,-0.803,-0.73084,0.55494,0.36142,-0.44761,-9.1373,-3.3065,0.34509,-0.50784,-0.99795,0.012931,1.4412,0.4978,-3.2253,0
-9.8817,0.14694,0.67638,-0.0041863,-0.062794,1.4417,-9.6452,-0.16576,0.03154,-0.803,-0.73084,0.73567,0.72659,-0.45488,-9.1826,-3.4178,0.22495,-0.50784,-0.99795,0.012931,0.54544,0.68444,-3.606,0
-9.8185,0.01575,0.72773,-0.0041863,-0.087912,1.5463,-9.8027,-0.06842,0.03525,-0.79362,-0.74067,0.55494,0.36142,-0.44761,-9.1711,-3.601,-0.096715,-0.5,-0.98152,0.030172,0.54189,0.32875,-2.8805,0
-9.6132,0.35861,0.99017,-0.0083726,-0.087912,1.7395,-9.7733,-0.10669,0.03525,-0.79362,-0.74067,0.55917,-0.0055917,-0.58833,-9.1311,-3.488,0.2006,-0.5,-0.98152,0.030172,0.36604,0.69703,-2.5267,0
-9.7173,0.50906,0.99318,-0.0083726,-0.087912,1.7112,-9.741,0.15506,0.03525,-0.79362,-0.74067,1.0924,0.17256,-0.31217,-9.0665,-3.6191,0.089878,-0.5,-0.98152,0.030172,0.18111,0.15804,-2.164,0
-9.9116,0.12436,0.88488,0.0,-0.087912,1.681,-9.7406,0.19645,0.03525,-0.79362,-0.74067,0.56799,0.54478,-0.88261,-9.0958,-3.4864,0.35693,-0.5,-0.98152,0.030172,0.18481,0.52816,-1.4456,0
-9.8445,0.30553,1.017,-0.0041863,-0.07954,1.5658,-9.6136,0.02456,0.03154,-0.80488,-0.72692,0.38299,0.36314,-0.73279,-9.1498,-3.4386,0.14057,-0.49412,-0.97536,0.034483,0.3607,0.1635,-1.4385,0
